ticker,date,open,high,low,close,vol
AAPL,201010110900,295.01,295.05,294.82,294.82,5235
AAPL,201010110905,294.81,294.9,294.8,294.85,7441
AAPL,201010110910,294.85,294.98,294.84,294.85,4268
AAPL,201010110915,294.83,294.83,294.75,294.83,4012
AAPL,201010110920,294.8,294.82,294.64,294.67,13081
AAPL,201010110925,294.64,294.84,294.5,294.77,12244
AAPL,201010110930,294.74,296.25,294.74,295.71,1024460
AAPL,201010110935,295.75,296.69,295.58,296.31,544871
AAPL,201010110940,296.35,296.59,295.9,296.07,406701
AAPL,201010110945,296.1,296.19,295.27,295.38,398542
AAPL,201010110950,295.45,295.89,295,295.83,369892
AAPL,201010110955,295.85,296.14,295.65,296.14,331917
AAPL,201010111000,296.11,296.57,296.04,296.2,406755
AAPL,201010111005,296.2,296.7,296.13,296.35,330723
AAPL,201010111010,296.35,296.36,295.9,296.07,282759
AAPL,201010111015,296.07,296.47,296,296.35,245214
AAPL,201010111020,296.35,296.87,296.31,296.83,386289
AAPL,201010111025,296.86,297.12,296.68,296.9,499939
AAPL,201010111030,296.9,297,296.24,296.41,289884
AAPL,201010111035,296.4,296.55,296.3,296.49,146426
AAPL,201010111040,296.49,296.73,296.37,296.43,167136
AAPL,201010111045,296.41,296.41,295.69,295.77,358209
AAPL,201010111050,295.75,295.97,295.6,295.75,187720
AAPL,201010111055,295.75,296.15,295.7,296.04,175859
AAPL,201010111100,296.02,296.3,295.87,296.12,121743
AAPL,201010111105,296.12,296.17,295.85,296.09,110676
AAPL,201010111110,296.1,296.27,295.9,296.16,152959
AAPL,201010111115,296.16,296.33,296,296.1,102585
AAPL,201010111120,296.02,296.46,296.02,296.32,103329
AAPL,201010111125,296.33,296.46,296.18,296.24,87080
AAPL,201010111130,296.27,296.44,296.22,296.3,96513
AAPL,201010111135,296.3,296.62,296.25,296.5,163193
AAPL,201010111140,296.5,296.52,296.14,296.22,95047
AAPL,201010111145,296.26,296.4,296.07,296.16,75630
AAPL,201010111150,296.16,296.23,296.03,296.13,88797
AAPL,201010111155,296.12,296.2,295.92,296.07,137364
AAPL,201010111200,296.1,296.2,295.95,296.09,85083
AAPL,201010111205,296.11,296.15,295.9,296.04,87150
AAPL,201010111210,296.01,296.33,295.98,296.29,76532
AAPL,201010111215,296.27,296.35,296.13,296.32,67645
AAPL,201010111220,296.35,296.37,296.15,296.31,57929
AAPL,201010111225,296.35,296.47,296.26,296.35,50145
AAPL,201010111230,296.34,296.53,296.26,296.43,62073
AAPL,201010111235,296.44,296.82,296.4,296.6,124242
AAPL,201010111240,296.57,296.67,296.52,296.58,52218
AAPL,201010111245,296.61,296.61,296.36,296.4,67313
AAPL,201010111250,296.4,296.49,296.28,296.38,69026
AAPL,201010111255,296.36,296.62,296.35,296.6,48036
AAPL,201010111300,296.6,296.64,296.4,296.56,61631
AAPL,201010111305,296.53,296.64,296.44,296.63,60521
AAPL,201010111310,296.63,296.76,296.56,296.72,77534
AAPL,201010111315,296.72,296.75,296.6,296.65,46717
AAPL,201010111320,296.63,296.72,296.56,296.69,36108
AAPL,201010111325,296.68,296.73,296.56,296.59,32992
AAPL,201010111330,296.62,296.67,296.5,296.56,40902
AAPL,201010111335,296.57,296.67,296.55,296.63,44837
AAPL,201010111340,296.64,296.74,296.57,296.74,46356
AAPL,201010111345,296.71,296.77,296.57,296.75,64625
AAPL,201010111350,296.72,296.93,296.67,296.91,166269
AAPL,201010111355,296.89,296.91,296.7,296.81,78475
AAPL,201010111400,296.85,296.89,296.7,296.71,80707
AAPL,201010111405,296.71,296.83,296.64,296.78,58202
AAPL,201010111410,296.73,296.73,296.59,296.65,81160
AAPL,201010111415,296.61,296.79,296.56,296.66,65981
AAPL,201010111420,296.69,296.72,296.6,296.71,72978
AAPL,201010111425,296.71,296.74,296.65,296.73,42225
AAPL,201010111430,296.73,296.89,296.57,296.89,138851
AAPL,201010111435,296.88,297,296.84,296.98,199822
AAPL,201010111440,296.98,297.2,296.95,297.19,278415
AAPL,201010111445,297.2,297.24,296.95,297.09,229682
AAPL,201010111450,297.07,297.16,296.83,297.01,183782
AAPL,201010111455,296.98,297.09,296.87,296.95,120333
AAPL,201010111500,296.95,297.08,296.84,296.92,85978
AAPL,201010111505,296.92,297.05,296.91,297,65594
AAPL,201010111510,296.98,297.01,296.25,296.41,344651
AAPL,201010111515,296.41,296.61,296.31,296.39,254061
AAPL,201010111520,296.35,296.49,296.01,296.05,233775
AAPL,201010111525,296.05,296.18,295.59,295.68,339002
AAPL,201010111530,295.67,295.83,295.09,295.11,433317
AAPL,201010111535,295.11,295.52,295.02,295.19,376163
AAPL,201010111540,295.19,295.32,294.6,295.3,435432
AAPL,201010111545,295.26,295.76,295.06,295.64,269115
AAPL,201010111550,295.66,295.7,295.44,295.53,247342
AAPL,201010111555,295.52,295.53,295.11,295.36,375616
AAPL,201010111600,295.48,295.86,295.36,295.86,470020
AAPL,201010111605,295.84,295.84,295.36,295.75,9350
AAPL,201010111610,295.78,296.11,295.62,295.63,2460
AAPL,201010111615,295.61,295.65,295.55,295.65,3513
AAPL,201010111620,295.65,295.7,295.65,295.7,860
AAPL,201010111625,295.6,295.66,295.6,295.61,860
AAPL,201010111630,295.67,295.7,295.56,295.57,720
AAPL,201010111635,295.57,295.57,295.52,295.52,1108
AAPL,201010111640,295.52,296.11,295.5,295.54,22952
AAPL,201010111645,295.5,295.5,295.47,295.5,1713
AAPL,201010111650,295.45,295.45,295.44,295.44,420
AAPL,201010111655,295.44,295.44,295.44,295.44,111
AAPL,201010120900,296.02,296.04,295.8,295.82,6858
AAPL,201010120905,295.85,295.95,295.77,295.85,9993
AAPL,201010120910,295.85,296,295.76,295.86,5900
AAPL,201010120915,295.97,296.09,295.95,296.09,11372
AAPL,201010120920,296.06,296.2,295.73,295.75,13197
AAPL,201010120925,295.75,295.75,295.36,295.41,12200
AAPL,201010120930,295.41,296.25,294.8,295.8,678757
AAPL,201010120935,295.79,296.69,295.6,296.2,619514
AAPL,201010120940,296.19,296.21,295.6,295.66,397968
AAPL,201010120945,295.65,295.71,293.28,293.49,894665
AAPL,201010120950,293.48,293.88,292.49,293.4,892055
AAPL,201010120955,293.35,293.93,293.18,293.58,372383
AAPL,201010121000,293.58,294.55,293.5,294.37,469620
AAPL,201010121005,294.34,294.85,294.12,294.16,264177
AAPL,201010121010,294.13,295.17,294.1,295.13,260568
AAPL,201010121015,295.05,295.7,294.97,295.58,571948
AAPL,201010121020,295.55,295.75,295.33,295.34,270771
AAPL,201010121025,295.38,295.68,295.28,295.35,176014
AAPL,201010121030,295.35,295.9,295.33,295.78,219123
AAPL,201010121035,295.78,295.96,295.56,295.87,174197
AAPL,201010121040,295.86,296.18,295.75,296.03,258857
AAPL,201010121045,296.07,296.38,295.9,296.32,305025
AAPL,201010121050,296.28,296.97,296.23,296.87,422617
AAPL,201010121055,296.85,297.2,296.64,296.9,406478
AAPL,201010121100,296.89,297.1,296.58,296.87,264867
AAPL,201010121105,296.83,297.73,296.82,297.3,503664
AAPL,201010121110,297.31,297.46,296.76,296.98,266963
AAPL,201010121115,296.97,297.1,296.84,297,147506
AAPL,201010121120,296.94,297,296.7,296.87,112445
AAPL,201010121125,296.89,297.16,296.86,297.11,166144
AAPL,201010121130,297.11,297.15,296.88,296.97,120687
AAPL,201010121135,296.95,297.32,296.95,297.1,121061
AAPL,201010121140,297.05,297.05,296.7,296.78,125253
AAPL,201010121145,296.78,296.8,296.56,296.72,105143
AAPL,201010121150,296.68,296.99,296.62,296.95,85318
AAPL,201010121155,296.95,297.13,296.87,297.04,109608
AAPL,201010121200,297.03,297.2,296.84,297.11,162261
AAPL,201010121205,297.1,297.18,296.86,296.94,55041
AAPL,201010121210,296.95,297,296.82,296.88,72321
AAPL,201010121215,296.91,297.2,296.9,297.2,95678
AAPL,201010121220,297.2,297.37,297,297.04,191809
AAPL,201010121225,297.05,297.1,296.83,296.83,77810
AAPL,201010121230,296.88,297.08,296.73,297.08,108305
AAPL,201010121235,297.08,297.1,296.87,296.96,58558
AAPL,201010121240,296.98,297.09,296.97,297.07,35653
AAPL,201010121245,297.04,297.08,296.78,296.85,77318
AAPL,201010121250,296.83,297.08,296.82,297.04,72558
AAPL,201010121255,297.03,297.06,296.78,296.93,70011
AAPL,201010121300,296.95,296.98,296.78,296.98,46984
AAPL,201010121305,296.98,297,296.78,296.92,49882
AAPL,201010121310,296.92,296.99,296.86,296.96,29289
AAPL,201010121315,296.95,297.05,296.92,296.97,60384
AAPL,201010121320,296.98,297,296.81,296.89,66927
AAPL,201010121325,296.89,297,296.82,296.99,31961
AAPL,201010121330,296.96,296.99,296.9,296.94,32468
AAPL,201010121335,296.97,296.99,296.78,296.83,52072
AAPL,201010121340,296.86,296.91,296.61,296.75,110628
AAPL,201010121345,296.75,296.97,296.72,296.89,56686
AAPL,201010121350,296.89,297,296.83,296.93,49302
AAPL,201010121355,296.94,296.98,296.84,296.92,61034
AAPL,201010121400,296.96,297.55,296.5,297.3,490548
AAPL,201010121405,297.31,297.44,296.92,297.12,228342
AAPL,201010121410,297.11,297.54,297.06,297.43,285924
AAPL,201010121415,297.46,298.1,297.34,297.68,631807
AAPL,201010121420,297.68,297.74,296.9,297.1,363328
AAPL,201010121425,297.12,297.4,297.04,297.25,150845
AAPL,201010121430,297.3,297.39,296.57,296.62,246073
AAPL,201010121435,296.64,297.19,296.59,296.86,117290
AAPL,201010121440,296.89,297.43,296.89,297.16,208983
AAPL,201010121445,297.2,297.55,297.19,297.31,149645
AAPL,201010121450,297.31,297.5,297.25,297.5,111075
AAPL,201010121455,297.47,297.66,297.33,297.62,148098
AAPL,201010121500,297.59,297.61,297,297.05,213456
AAPL,201010121505,297.05,297.67,297,297.57,199521
AAPL,201010121510,297.59,297.78,297.53,297.68,220914
AAPL,201010121515,297.64,298.19,297.64,298.1,393052
AAPL,201010121520,298.08,298.64,298.05,298.58,418291
AAPL,201010121525,298.57,298.98,298.55,298.89,417514
AAPL,201010121530,298.91,298.98,298.58,298.7,308409
AAPL,201010121535,298.7,298.88,298.55,298.8,251701
AAPL,201010121540,298.79,299.05,298.68,298.98,350155
AAPL,201010121545,299,299.49,298.96,299.46,499327
AAPL,201010121550,299.49,299.5,298.7,298.8,477949
AAPL,201010121555,298.8,298.89,298.44,298.74,538292
AAPL,201010121600,298.74,298.74,298.49,298.59,210428
AAPL,201010121605,298.54,298.59,298.4,298.51,5206
AAPL,201010121610,298.52,298.6,298.5,298.6,1815
AAPL,201010121615,298.41,299.28,298.25,299,64642
AAPL,201010121620,298.98,299,298.7,298.79,6914
AAPL,201010121625,298.79,299.07,298.7,299.02,182362
AAPL,201010121630,298.95,298.95,298.54,298.88,5838
AAPL,201010121635,298.9,299.19,298.88,299,10299
AAPL,201010121640,299,299,298.88,298.9,1773
AAPL,201010121645,298.99,299.1,298.91,299,3083
AAPL,201010121650,299.03,299.03,298.93,298.97,2575
AAPL,201010121655,298.91,298.93,298.86,298.86,690
AAPL,201010130900,300.95,300.95,300.8,300.8,8050
AAPL,201010130905,300.8,300.85,300.54,300.6,21584
AAPL,201010130910,300.64,300.8,300.6,300.75,17901
AAPL,201010130915,300.77,300.77,300.4,300.61,10740
AAPL,201010130920,300.6,300.9,300.55,300.8,14473
AAPL,201010130925,300.79,300.79,300,300.1,56557
AAPL,201010130930,300.2,300.79,300,300.34,1311609
AAPL,201010130935,300.36,300.96,300.15,300.43,663549
AAPL,201010130940,300.42,300.75,300.27,300.71,482136
AAPL,201010130945,300.7,301.72,300.63,301.7,750879
AAPL,201010130950,301.7,301.72,301.25,301.35,516093
AAPL,201010130955,301.35,301.56,301.2,301.24,339009
AAPL,201010131000,301.25,301.59,301.15,301.47,423403
AAPL,201010131005,301.49,301.54,301.25,301.41,301958
AAPL,201010131010,301.42,301.54,301.21,301.43,318171
AAPL,201010131015,301.43,301.78,300.65,300.83,576991
AAPL,201010131020,300.83,301.17,300.51,301.05,372836
AAPL,201010131025,301.05,301.33,300.97,301.1,223848
AAPL,201010131030,301.08,301.2,300.75,301.09,175336
AAPL,201010131035,301.05,301.29,301,301.13,206142
AAPL,201010131040,301.16,301.24,300.93,300.99,156655
AAPL,201010131045,301,301.08,300.68,300.73,182393
AAPL,201010131050,300.75,301.09,300.71,301.09,184003
AAPL,201010131055,301.03,301.35,300.81,301.34,210605
AAPL,201010131100,301.32,301.45,301.15,301.41,240530
AAPL,201010131105,301.39,301.69,301.16,301.2,328466
AAPL,201010131110,301.24,301.44,300.86,301.26,291140
AAPL,201010131115,301.24,301.44,301.2,301.43,149850
AAPL,201010131120,301.41,301.96,301.41,301.94,409057
AAPL,201010131125,301.93,301.93,301.23,301.3,306879
AAPL,201010131130,301.28,301.46,301.25,301.4,179139
AAPL,201010131135,301.46,301.5,301.22,301.33,154572
AAPL,201010131140,301.34,301.34,301.15,301.23,84879
AAPL,201010131145,301.23,301.3,301.11,301.3,105299
AAPL,201010131150,301.3,301.5,301.29,301.4,85796
AAPL,201010131155,301.39,301.42,301.32,301.38,76963
AAPL,201010131200,301.38,301.45,301.32,301.4,97363
AAPL,201010131205,301.4,301.41,301.28,301.32,150177
AAPL,201010131210,301.3,301.35,301.25,301.29,63048
AAPL,201010131215,301.27,301.38,301.22,301.28,71802
AAPL,201010131220,301.27,301.4,301.16,301.36,104973
AAPL,201010131225,301.35,301.52,301.31,301.42,101022
AAPL,201010131230,301.41,301.44,301.32,301.35,64716
AAPL,201010131235,301.39,301.48,301.31,301.37,75182
AAPL,201010131240,301.32,301.39,300.9,301.07,225346
AAPL,201010131245,301.05,301.21,300.87,300.97,135672
